WELL_ID,DEPT,DPHI,GRD,ILD
49025097080000_490513,284.0,0.1095,106.4999,6.6307
49025097080000_490513,284.5,0.1149,105.1698,6.6299
49025097080000_490513,285.0,0.1247,103.3926,6.629
49025097080000_490513,285.5,0.1439,104.5215,6.5532
49025097080000_490513,286.0,0.1454,105.2033,6.4023
49025097080000_490513,286.5,0.1415,105.2145,6.2514
49025097080000_490513,287.0,0.1238,105.4492,6.1005
49025097080000_490513,287.5,0.1178,106.131,5.9497
49025097080000_490513,288.0,0.1139,105.248,5.7988
49025097080000_490513,288.5,0.1103,98.1057,5.6479
49025097080000_490513,289.0,0.1139,95.2107,5.6457
49025097080000_490513,289.5,0.1273,92.5393,5.5713
49025097080000_490513,290.0,0.1273,90.7593,5.6455
49025097080000_490513,290.5,0.1138,97.4797,5.6448
49025097080000_490513,291.0,0.1181,101.9618,5.7942
49025097080000_490513,291.5,0.1173,104.432,5.8687
49025097080000_490513,292.0,0.1138,105.1138,6.0181
49025097080000_490513,292.5,0.1177,106.2427,6.1674
49025097080000_490513,293.0,0.1269,105.3597,6.3168
49025097080000_490513,293.5,0.1268,106.4886,6.3911
49025097080000_490513,294.0,0.1199,107.3911,6.4655
49025097080000_490513,294.5,0.1215,105.3904,6.5398
49025097080000_490513,295.0,0.1289,105.4043,6.6141
49025097080000_490513,295.5,0.1342,105.192,6.6885
49025097080000_490513,296.0,0.1379,104.5297,6.6876
49025097080000_490513,296.5,0.14,102.7553,6.6868
49025097080000_490513,297.0,0.1445,103.4371,6.611
49025097080000_490513,297.5,0.146,104.3424,6.5352
49025097080000_490513,298.0,0.1316,105.4713,6.3843
49025097080000_490513,298.5,0.1172,106.1532,6.3836
49025097080000_490513,299.0,0.1199,105.2701,6.3078
49025097080000_490513,299.5,0.1376,103.94,6.307
49025097080000_490513,300.0,0.1435,102.6946,6.3814
49025097080000_490513,300.5,0.1193,101.0603,6.5086
49025097080000_490513,301.0,0.1058,99.0506,6.6115
49025097080000_490513,301.5,0.1022,98.3867,6.7591
49025097080000_490513,302.0,0.1064,99.292,6.91
49025097080000_490513,302.5,0.1136,101.0893,7.136
49025097080000_490513,303.0,0.1231,103.5572,7.2868
49025097080000_490513,303.5,0.1213,106.4723,7.289
49025097080000_490513,304.0,0.1212,107.1496,7.2132
49025097080000_490513,304.5,0.1252,106.4879,6.9888
49025097080000_490513,305.0,0.1254,109.6287,6.9896
49025097080000_490513,305.5,0.1084,108.2963,7.0654
49025097080000_490513,306.0,0.1048,105.3991,7.2162
49025097080000_490513,306.5,0.1006,101.1607,7.3673
49025097080000_490513,307.0,0.0964,98.487,7.4431
49025097080000_490513,307.5,0.088,97.8231,7.5939
49025097080000_490513,308.0,0.0794,99.1755,7.7448
49025097080000_490513,308.5,0.0791,103.6554,7.8206
49025097080000_490513,309.0,0.1111,104.7798,7.7462
49025097080000_490513,309.5,0.1242,103.0026,7.5219
49025097080000_490513,310.0,0.1398,101.4466,7.2972
49025097080000_490513,310.5,0.1406,101.0062,6.9978
49025097080000_490513,311.0,0.1313,101.2409,6.7733
49025097080000_490513,311.5,0.1442,101.4734,6.6154
49025097080000_490513,312.0,0.1457,101.2565,6.4744
49025097080000_490513,312.5,0.1481,100.5971,6.4001
49025097080000_490513,313.0,0.1433,99.2647,6.401
49025097080000_490513,313.5,0.1358,98.6007,6.4017
49025097080000_490513,314.0,0.1226,103.0828,6.4775
49025097080000_490513,314.5,0.1169,101.0798,6.5534
49025097080000_490513,315.0,0.1154,98.4062,6.5541
49025097080000_490513,315.5,0.1205,95.7325,6.6299
49025097080000_490513,316.0,0.125,103.7891,6.7057
49025097080000_490513,316.5,0.1211,104.0194,6.8566
49025097080000_490513,317.0,0.1145,102.0186,6.9326
49025097080000_490513,317.5,0.1187,100.0156,7.0084
49025097080000_490513,318.0,0.1235,98.6833,7.1593
49025097080000_490513,318.5,0.127,98.2451,7.3101
49025097080000_490513,319.0,0.1154,95.3479,7.3859
49025097080000_490513,319.5,0.1154,91.7801,7.5369
49025097080000_490513,320.0,0.1142,90.8926,7.6126
49025097080000_490513,320.5,0.1067,92.6921,7.7636
49025097080000_490513,321.0,0.101,92.2539,7.8394
49025097080000_490513,321.5,0.0926,90.698,7.9152
49025097080000_490513,322.0,0.106,90.9305,8.0662
49025097080000_490513,322.5,0.1186,93.1749,8.142
49025097080000_490513,323.0,0.1111,94.3015,8.1427
49025097080000_490513,323.5,0.115,95.8753,8.1434
49025097080000_490513,324.0,0.1272,99.6845,8.0691
49025097080000_490513,324.5,0.1341,103.4937,7.9196
49025097080000_490513,325.0,0.1368,103.2791,7.7704
49025097080000_490513,325.5,0.126,100.6054,7.696
49025097080000_490513,326.0,0.12,99.4966,7.6215
49025097080000_490513,326.5,0.1263,98.1642,7.5473
49025097080000_490513,327.0,0.1272,95.9377,7.473
49025097080000_490513,327.5,0.1248,94.158,7.3237
49025097080000_490513,328.0,0.1239,98.8616,7.3244
49025097080000_490513,328.5,0.1308,103.3415,7.2499
49025097080000_490513,329.0,0.1167,102.0091,7.1757
49025097080000_490513,329.5,0.1143,100.9003,7.1764
49025097080000_490513,330.0,0.1176,100.462,7.1773
49025097080000_490513,330.5,0.1164,100.9182,7.178
49025097080000_490513,331.0,0.1194,104.2803,7.1787
49025097080000_490513,331.5,0.1228,106.3011,7.1795
49025097080000_490513,332.0,0.1259,104.0746,7.1051
49025097080000_490513,332.5,0.1271,103.4129,7.106
49025097080000_490513,333.0,0.1274,103.4218,7.0316
49025097080000_490513,333.5,0.1214,102.0873,7.1074
49025097080000_490513,334.0,0.1157,98.9597,7.131
49025097080000_490513,334.5,0.1235,98.5305,7.2498
49025097080000_490513,335.0,0.1199,98.7705,7.3686
49025097080000_490513,335.5,0.1037,98.9955,7.4858
49025097080000_490513,336.0,0.0792,97.1922,7.4865
49025097080000_490513,336.5,0.0627,94.7377,7.4872
49025097080000_490513,337.0,0.0636,92.7466,7.5632
49025097080000_490513,337.5,0.0714,92.5482,7.5639
49025097080000_490513,338.0,0.0941,95.0162,7.4895
49025097080000_490513,338.5,0.0992,93.661,7.4152
49025097080000_490513,339.0,0.0791,91.3309,7.3348
49025097080000_490513,339.5,0.0731,90.3485,7.1165
49025097080000_490513,340.0,0.0794,95.7526,6.9671
49025097080000_490513,340.5,0.0925,94.997,6.8925
49025097080000_490513,341.0,0.0874,93.7284,6.7433
49025097080000_490513,341.5,0.0916,98.3547,6.6689
49025097080000_490513,342.0,0.1029,102.8822,6.6698
49025097080000_490513,342.5,0.117,104.4854,6.6705
49025097080000_490513,343.0,0.1269,103.5574,6.7463
